SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:02,2020-07-07 17:20:37.825630,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-70
1,DC:A6:32:33:AA:02,2020-07-07 17:20:38.194301,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-67
2,DC:A6:32:33:AA:02,2020-07-07 17:20:39.385919,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-70
3,DC:A6:32:33:AA:02,2020-07-07 17:20:40.093381,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-70
4,DC:A6:32:33:AA:02,2020-07-07 17:20:41.124627,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-71
5,DC:A6:32:33:AA:02,2020-07-07 17:20:42.163331,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-72
6,DC:A6:32:33:AA:02,2020-07-07 17:20:43.053365,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-70
7,DC:A6:32:33:AA:02,2020-07-07 17:20:44.051425,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-72
8,DC:A6:32:33:AA:02,2020-07-07 17:20:45.053311,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-72
9,DC:A6:32:33:AA:02,2020-07-07 17:20:46.292160,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-71
10,DC:A6:32:33:AA:02,2020-07-07 17:20:48.297235,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-70
11,DC:A6:32:33:AA:02,2020-07-07 17:20:49.213443,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-71
12,DC:A6:32:33:AA:02,2020-07-07 17:20:50.299674,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-71
13,DC:A6:32:33:AA:02,2020-07-07 17:20:51.055837,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-66
14,DC:A6:32:33:AA:02,2020-07-07 17:20:52.392158,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-66
15,DC:A6:32:33:AA:02,2020-07-07 17:20:53.037172,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-70
16,DC:A6:32:33:AA:02,2020-07-07 17:20:54.338987,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-71
17,DC:A6:32:33:AA:02,2020-07-07 17:20:55.076530,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-72
18,DC:A6:32:33:AA:02,2020-07-07 17:20:57.082235,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-69
19,DC:A6:32:33:AA:02,2020-07-07 17:20:58.050974,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-71
20,DC:A6:32:33:AA:02,2020-07-07 17:20:59.448477,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-70
21,DC:A6:32:33:AA:02,2020-07-07 17:21:00.872251,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-71
22,DC:A6:32:33:AA:02,2020-07-07 17:21:01.076526,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-67
23,DC:A6:32:33:AA:02,2020-07-07 17:21:02.290972,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-71
24,DC:A6:32:33:AA:02,2020-07-07 17:21:04.295964,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-66
25,DC:A6:32:33:AA:02,2020-07-07 17:21:05.750951,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-70
26,DC:A6:32:33:AA:02,2020-07-07 17:21:06.107736,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-66
27,DC:A6:32:33:AA:02,2020-07-07 17:21:07.380339,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-66
28,DC:A6:32:33:AA:02,2020-07-07 17:21:08.066494,d49988d8-c0b0-11ea-bde1-dca63233aa01,1,1,1,-66
