SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
46,DC:A6:32:33:AA:02,2020-07-10 18:20:12.245795,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
47,DC:A6:32:33:AA:02,2020-07-10 18:20:13.347851,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-57
48,DC:A6:32:33:AA:02,2020-07-10 18:20:14.899041,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-56
49,DC:A6:32:33:AA:02,2020-07-10 18:20:15.016515,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
50,DC:A6:32:33:AA:02,2020-07-10 18:20:16.239184,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
51,DC:A6:32:33:AA:02,2020-07-10 18:20:17.061733,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
52,DC:A6:32:33:AA:02,2020-07-10 18:20:18.499277,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
53,DC:A6:32:33:AA:02,2020-07-10 18:20:19.011638,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
54,DC:A6:32:33:AA:02,2020-07-10 18:20:20.169231,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
55,DC:A6:32:33:AA:02,2020-07-10 18:20:21.200490,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
56,DC:A6:32:33:AA:02,2020-07-10 18:20:22.219278,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
57,DC:A6:32:33:AA:02,2020-07-10 18:20:23.966833,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
58,DC:A6:32:33:AA:02,2020-07-10 18:20:24.010480,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-59
59,DC:A6:32:33:AA:02,2020-07-10 18:20:26.015545,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-57
60,DC:A6:32:33:AA:02,2020-07-10 18:20:27.621923,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-59
61,DC:A6:32:33:AA:02,2020-07-10 18:20:28.005544,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-59
62,DC:A6:32:33:AA:02,2020-07-10 18:20:29.636866,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
63,DC:A6:32:33:AA:02,2020-07-10 18:20:30.006729,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
64,DC:A6:32:33:AA:02,2020-07-10 18:20:31.119266,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
65,DC:A6:32:33:AA:02,2020-07-10 18:20:32.030559,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
66,DC:A6:32:33:AA:02,2020-07-10 18:20:33.071836,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
67,DC:A6:32:33:AA:02,2020-07-10 18:20:34.166862,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
68,DC:A6:32:33:AA:02,2020-07-10 18:20:35.019308,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-59
69,DC:A6:32:33:AA:02,2020-07-10 18:20:36.046848,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
70,DC:A6:32:33:AA:02,2020-07-10 18:20:37.092482,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
71,DC:A6:32:33:AA:02,2020-07-10 18:20:38.133702,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
72,DC:A6:32:33:AA:02,2020-07-10 18:20:39.145592,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
73,DC:A6:32:33:AA:02,2020-07-10 18:20:40.421885,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
74,DC:A6:32:33:AA:02,2020-07-10 18:20:41.151952,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
75,DC:A6:32:33:AA:02,2020-07-10 18:20:42.256989,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-57
76,DC:A6:32:33:AA:02,2020-07-10 18:20:43.088120,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-66
77,DC:A6:32:33:AA:02,2020-07-10 18:20:44.089384,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
78,DC:A6:32:33:AA:02,2020-07-10 18:20:45.008131,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
79,DC:A6:32:33:AA:02,2020-07-10 18:20:46.049439,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
80,DC:A6:32:33:AA:02,2020-07-10 18:20:47.175672,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-57
81,DC:A6:32:33:AA:02,2020-07-10 18:20:48.185761,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-63
82,DC:A6:32:33:AA:02,2020-07-10 18:20:49.161943,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
83,DC:A6:32:33:AA:02,2020-07-10 18:20:51.166995,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
84,DC:A6:32:33:AA:02,2020-07-10 18:20:52.146997,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-56
85,DC:A6:32:33:AA:02,2020-07-10 18:20:53.100736,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
86,DC:A6:32:33:AA:02,2020-07-10 18:20:54.148261,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
87,DC:A6:32:33:AA:02,2020-07-10 18:20:55.187055,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
88,DC:A6:32:33:AA:02,2020-07-10 18:20:56.074520,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-63
89,DC:A6:32:33:AA:02,2020-07-10 18:20:57.038259,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
90,DC:A6:32:33:AA:02,2020-07-10 18:20:58.019570,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
91,DC:A6:32:33:AA:02,2020-07-10 18:20:59.052123,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
92,DC:A6:32:33:AA:02,2020-07-10 18:21:00.299632,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-57
93,DC:A6:32:33:AA:02,2020-07-10 18:21:01.039711,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-56
94,DC:A6:32:33:AA:02,2020-07-10 18:21:02.430979,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-66
95,DC:A6:32:33:AA:02,2020-07-10 18:21:03.017184,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-59
96,DC:A6:32:33:AA:02,2020-07-10 18:21:04.169705,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
97,DC:A6:32:33:AA:02,2020-07-10 18:21:05.171018,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
98,DC:A6:32:33:AA:02,2020-07-10 18:21:06.295345,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
99,DC:A6:32:33:AA:02,2020-07-10 18:21:07.027276,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
100,DC:A6:32:33:AA:02,2020-07-10 18:21:08.342274,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
101,DC:A6:32:33:AA:02,2020-07-10 18:21:09.094687,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-57
102,DC:A6:32:33:AA:02,2020-07-10 18:21:10.308557,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-59
103,DC:A6:32:33:AA:02,2020-07-10 18:21:11.040975,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
104,DC:A6:32:33:AA:02,2020-07-10 18:21:12.062239,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
105,DC:A6:32:33:AA:02,2020-07-10 18:21:13.067347,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-59
106,DC:A6:32:33:AA:02,2020-07-10 18:21:14.009796,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
107,DC:A6:32:33:AA:02,2020-07-10 18:21:15.402289,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
108,DC:A6:32:33:AA:02,2020-07-10 18:21:16.073552,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-57
109,DC:A6:32:33:AA:02,2020-07-10 18:21:17.198581,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-57
110,DC:A6:32:33:AA:02,2020-07-10 18:21:18.198626,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
111,DC:A6:32:33:AA:02,2020-07-10 18:21:19.137368,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
112,DC:A6:32:33:AA:02,2020-07-10 18:21:20.017404,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
113,DC:A6:32:33:AA:02,2020-07-10 18:21:22.022486,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
114,DC:A6:32:33:AA:02,2020-07-10 18:21:23.211226,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
115,DC:A6:32:33:AA:02,2020-07-10 18:21:24.159990,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
116,DC:A6:32:33:AA:02,2020-07-10 18:21:25.163699,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
117,DC:A6:32:33:AA:02,2020-07-10 18:21:26.183706,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
118,DC:A6:32:33:AA:02,2020-07-10 18:21:27.296325,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-59
119,DC:A6:32:33:AA:02,2020-07-10 18:21:28.569399,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
120,DC:A6:32:33:AA:02,2020-07-10 18:21:29.057490,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
121,DC:A6:32:33:AA:02,2020-07-10 18:21:30.057493,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
122,DC:A6:32:33:AA:02,2020-07-10 18:21:31.100000,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
123,DC:A6:32:33:AA:02,2020-07-10 18:21:32.234309,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
124,DC:A6:32:33:AA:02,2020-07-10 18:21:33.151203,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
125,DC:A6:32:33:AA:02,2020-07-10 18:21:34.067504,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
126,DC:A6:32:33:AA:02,2020-07-10 18:21:35.158885,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-56
127,DC:A6:32:33:AA:02,2020-07-10 18:21:36.182516,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
128,DC:A6:32:33:AA:02,2020-07-10 18:21:37.371386,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
129,DC:A6:32:33:AA:02,2020-07-10 18:21:38.083167,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
130,DC:A6:32:33:AA:02,2020-07-10 18:21:39.392663,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-59
131,DC:A6:32:33:AA:02,2020-07-10 18:21:40.617675,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
132,DC:A6:32:33:AA:02,2020-07-10 18:21:41.028924,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
133,DC:A6:32:33:AA:02,2020-07-10 18:21:42.237656,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
134,DC:A6:32:33:AA:02,2020-07-10 18:21:43.508953,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
135,DC:A6:32:33:AA:02,2020-07-10 18:21:44.018885,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
136,DC:A6:32:33:AA:02,2020-07-10 18:21:45.070171,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
137,DC:A6:32:33:AA:02,2020-07-10 18:21:46.048979,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-59
138,DC:A6:32:33:AA:02,2020-07-10 18:21:48.052648,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
139,DC:A6:32:33:AA:02,2020-07-10 18:21:49.127763,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
140,DC:A6:32:33:AA:02,2020-07-10 18:21:50.159049,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
141,DC:A6:32:33:AA:02,2020-07-10 18:21:51.577837,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-58
142,DC:A6:32:33:AA:02,2020-07-10 18:21:52.067802,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-64
143,DC:A6:32:33:AA:02,2020-07-10 18:21:53.044087,8c06a4aa-c314-11ea-809e-dca63233aa01,1,1,1,-65
