SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:02,2020-07-11 13:03:30.042791,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-74
1,DC:A6:32:33:AA:02,2020-07-11 13:03:31.018373,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-73
2,DC:A6:32:33:AA:02,2020-07-11 13:03:32.115155,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-74
3,DC:A6:32:33:AA:02,2020-07-11 13:03:33.220785,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-73
4,DC:A6:32:33:AA:02,2020-07-11 13:03:34.059869,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-80
5,DC:A6:32:33:AA:02,2020-07-11 13:03:35.119613,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-75
6,DC:A6:32:33:AA:02,2020-07-11 13:03:36.430815,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-75
7,DC:A6:32:33:AA:02,2020-07-11 13:03:37.375814,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-74
8,DC:A6:32:33:AA:02,2020-07-11 13:03:38.035740,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-74
9,DC:A6:32:33:AA:02,2020-07-11 13:03:39.005863,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-73
10,DC:A6:32:33:AA:02,2020-07-11 13:03:40.370916,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-80
11,DC:A6:32:33:AA:02,2020-07-11 13:03:41.056451,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-74
12,DC:A6:32:33:AA:02,2020-07-11 13:03:42.115876,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-74
13,DC:A6:32:33:AA:02,2020-07-11 13:03:43.395881,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-80
14,DC:A6:32:33:AA:02,2020-07-11 13:03:44.305815,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-73
15,DC:A6:32:33:AA:02,2020-07-11 13:03:45.517210,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-74
16,DC:A6:32:33:AA:02,2020-07-11 13:03:46.024683,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-75
17,DC:A6:32:33:AA:02,2020-07-11 13:03:48.029694,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-74
18,DC:A6:32:33:AA:02,2020-07-11 13:03:49.619629,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-74
19,DC:A6:32:33:AA:02,2020-07-11 13:03:50.297082,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-73
20,DC:A6:32:33:AA:02,2020-07-11 13:03:51.039364,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-74
21,DC:A6:32:33:AA:02,2020-07-11 13:03:53.010836,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-74
22,DC:A6:32:33:AA:02,2020-07-11 13:03:54.527149,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-71
23,DC:A6:32:33:AA:02,2020-07-11 13:03:55.030891,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-72
24,DC:A6:32:33:AA:02,2020-07-11 13:03:56.280491,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-74
25,DC:A6:32:33:AA:02,2020-07-11 13:03:57.104709,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-79
26,DC:A6:32:33:AA:02,2020-07-11 13:03:58.072192,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-72
27,DC:A6:32:33:AA:02,2020-07-11 13:03:59.527204,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-72
28,DC:A6:32:33:AA:02,2020-07-11 13:04:00.255953,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-74
29,DC:A6:32:33:AA:02,2020-07-11 13:04:01.168559,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-80
30,DC:A6:32:33:AA:02,2020-07-11 13:04:02.078532,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-74
31,DC:A6:32:33:AA:02,2020-07-11 13:04:03.566026,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-78
32,DC:A6:32:33:AA:02,2020-07-11 13:04:04.057217,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-78
33,DC:A6:32:33:AA:02,2020-07-11 13:04:05.207439,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-74
34,DC:A6:32:33:AA:02,2020-07-11 13:04:06.040401,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-80
35,DC:A6:32:33:AA:02,2020-07-11 13:04:07.425150,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-71
36,DC:A6:32:33:AA:02,2020-07-11 13:04:08.082901,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-72
37,DC:A6:32:33:AA:02,2020-07-11 13:04:09.161013,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-71
38,DC:A6:32:33:AA:02,2020-07-11 13:04:10.297322,94e4c14a-c3b1-11ea-a8fc-dca63233aa01,1,1,1,-71
