SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
0,DC:A6:32:33:AA:02,2020-07-10 17:59:03.697144,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-65
1,DC:A6:32:33:AA:02,2020-07-10 17:59:04.028041,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-65
2,DC:A6:32:33:AA:02,2020-07-10 17:59:05.183434,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-66
3,DC:A6:32:33:AA:02,2020-07-10 17:59:06.227880,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-65
4,DC:A6:32:33:AA:02,2020-07-10 17:59:07.297778,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-59
5,DC:A6:32:33:AA:02,2020-07-10 17:59:08.027199,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-59
6,DC:A6:32:33:AA:02,2020-07-10 17:59:09.058579,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-65
7,DC:A6:32:33:AA:02,2020-07-10 17:59:10.135371,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-64
8,DC:A6:32:33:AA:02,2020-07-10 17:59:12.009788,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-66
9,DC:A6:32:33:AA:02,2020-07-10 17:59:13.115351,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-59
10,DC:A6:32:33:AA:02,2020-07-10 17:59:15.120414,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-65
11,DC:A6:32:33:AA:02,2020-07-10 17:59:16.074103,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-64
12,DC:A6:32:33:AA:02,2020-07-10 17:59:17.115385,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-59
13,DC:A6:32:33:AA:02,2020-07-10 17:59:18.066717,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-65
14,DC:A6:32:33:AA:02,2020-07-10 17:59:19.249169,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-58
15,DC:A6:32:33:AA:02,2020-07-10 17:59:20.031646,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-64
16,DC:A6:32:33:AA:02,2020-07-10 17:59:21.736779,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-64
17,DC:A6:32:33:AA:02,2020-07-10 17:59:22.099226,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-65
18,DC:A6:32:33:AA:02,2020-07-10 17:59:23.464221,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-65
19,DC:A6:32:33:AA:02,2020-07-10 17:59:24.015430,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-59
20,DC:A6:32:33:AA:02,2020-07-10 17:59:25.267386,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-65
21,DC:A6:32:33:AA:02,2020-07-10 17:59:26.761883,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-59
22,DC:A6:32:33:AA:02,2020-07-10 17:59:27.116846,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-58
23,DC:A6:32:33:AA:02,2020-07-10 17:59:28.336825,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-66
24,DC:A6:32:33:AA:02,2020-07-10 17:59:29.046777,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-65
25,DC:A6:32:33:AA:02,2020-07-10 17:59:30.226172,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-64
26,DC:A6:32:33:AA:02,2020-07-10 17:59:31.215568,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-59
27,DC:A6:32:33:AA:02,2020-07-10 17:59:32.191895,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-59
28,DC:A6:32:33:AA:02,2020-07-10 17:59:33.020130,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-66
29,DC:A6:32:33:AA:02,2020-07-10 17:59:34.024432,b3b3cf58-c311-11ea-b968-dca63233aa01,1,1,1,-60
